,Name,Country,City,Address,Ratings,Weekday,StartingHours,StartingMinutes,EndingHours,EndingMinutes
59,2 Yummy,AU,Belconnen,"Shop 3, 114 Boardwalk Emu Bank",5.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
60,20 Spot,US,San Francisco,3565 20th St,4.5,5,17,00,01,00
61,20 Spot,US,San Francisco,3565 20th St,4.5,5,17,00,01,00
62,204 North Kitchen & Cocktails,US,Charlotte,204 N Tryon,3.5,6,11,00,00,00
63,204 North Kitchen & Cocktails,US,Charlotte,204 N Tryon,3.5,6,11,00,00,00
64,204 North Kitchen & Cocktails,US,Charlotte,204 N Tryon,3.5,6,11,00,00,00
65,204 North Kitchen & Cocktails,US,Charlotte,204 N Tryon,3.5,6,11,00,00,00
66,20th Street Café,US,Denver,1123 20th St,4.0,6,07,00,13,30
67,20th Street Café,US,Denver,1123 20th St,4.0,6,07,00,13,30
68,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
69,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
70,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
71,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
72,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
73,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
74,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
75,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
76,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
77,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
78,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
79,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
80,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
81,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
82,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
83,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
84,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
85,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
86,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
87,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
88,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
89,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
90,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
91,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
92,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
93,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
94,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
95,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
96,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
97,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
98,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
99,21 Shanghai House,US,New York,21 Division St,4.0,6,11,00,21,30
100,24grille,US,Detroit,204 Michigan Ave,3.0,6,11,00,22,00
101,24grille,US,Detroit,204 Michigan Ave,3.0,6,11,00,22,00
102,259 Cafe,AU,Perth,259 Berwick St,4.0,6,09,00,15,00
103,259 Cafe,AU,Perth,259 Berwick St,4.0,6,09,00,15,00
104,26 grains,GB,London,2 Neal's Yard,4.5,6,10,00,16,00
105,26 grains,GB,London,2 Neal's Yard,4.5,6,10,00,16,00
106,26 grains,GB,London,2 Neal's Yard,4.5,6,10,00,16,00
107,26 grains,GB,London,2 Neal's Yard,4.5,6,10,00,16,00
108,2nd City,US,New York,525 Hudson St,4.5,6,11,00,23,00
109,2nd City,US,New York,525 Hudson St,4.5,6,11,00,23,00
110,3 Arts Club Cafe,US,Chicago,Restoration Hardware,4.5,6,11,00,18,00
111,3 Arts Club Cafe,US,Chicago,Restoration Hardware,4.5,6,11,00,18,00
112,3 Bro's Kabab House,US,Houston,8586 Westheimer Rd,4.5,6,11,00,22,00
113,3 Bro's Kabab House,US,Houston,8586 Westheimer Rd,4.5,6,11,00,22,00
114,3 Bro's Kabab House,US,Houston,8586 Westheimer Rd,4.5,6,11,00,22,00
115,3 Bro's Kabab House,US,Houston,8586 Westheimer Rd,4.5,6,11,00,22,00
116,3 Greeks Grill,US,Long Island City,3561 Vernon Blvd,4.5,6,11,00,21,00
117,3 Greeks Grill,US,Long Island City,3561 Vernon Blvd,4.5,6,11,00,21,00
118,3 Little Monkeys,AU,Melbourne,4 Centre Pl,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
119,3 Little Monkeys,AU,Melbourne,4 Centre Pl,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
120,3 Wise Monkeys Pub,AU,Sydney,555 George St,3.5,6,10,00,04,00
121,3 Wise Monkeys Pub,AU,Sydney,555 George St,3.5,6,10,00,04,00
122,3 Wise Monkeys Pub,AU,Sydney,555 George St,3.5,6,10,00,04,00
123,3 Wise Monkeys Pub,AU,Sydney,555 George St,3.5,6,10,00,04,00
124,32 Shea,US,Phoenix,10626 N 32nd St,4.0,6,07,00,14,00
125,32 Shea,US,Phoenix,10626 N 32nd St,4.0,6,07,00,14,00
126,32 Shea,US,Phoenix,10626 N 32nd St,4.0,6,07,00,14,00
127,32 Shea,US,Phoenix,10626 N 32nd St,4.0,6,07,00,14,00
128,360 Bar and Restaurant,AU,Sydney,"Level 4, Sydney Westfield Centre",3.5,6,16,30,00,00
129,360 Bar and Restaurant,AU,Sydney,"Level 4, Sydney Westfield Centre",3.5,6,16,30,00,00
130,360 Bar and Restaurant,AU,Sydney,"Level 4, Sydney Westfield Centre",3.5,6,16,30,00,00
131,360 Bar and Restaurant,AU,Sydney,"Level 4, Sydney Westfield Centre",3.5,6,16,30,00,00
132,369 Oriental Bistro,US,Houston,1009 Westheimer Rd,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
133,369 Oriental Bistro,US,Houston,1009 Westheimer Rd,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
134,38 Espresso,AU,Kingston,Lot 2,4.0,6,08,00,15,00
135,38 Espresso,AU,Kingston,Lot 2,4.0,6,08,00,15,00
136,+39 Pizzeria,AU,Melbourne,362 Lt Bourke St,4.0,6,12,00,21,30
137,+39 Pizzeria,AU,Melbourne,362 Lt Bourke St,4.0,6,12,00,21,30
138,39 Steps,AU,O'connor,5 Sargood St,0.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
139,39 Steps,AU,O'connor,5 Sargood St,0.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
140,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
141,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
142,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
143,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
144,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
145,3rd Cousin,US,San Francisco,919 Cortland Ave,4.5,5,17,30,22,00
146,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
147,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
148,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
149,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
150,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
151,45 Jermyn St,GB,London,45 Jermyn Street,4.0,6,08,00,18,00
152,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
153,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
154,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
155,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
156,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
157,4Fourteen,AU,Surry Hills,414 Bourke St,4.0,6,12,00,18,00
158,5 & Dime Bagels,AU,Melbourne,16 Katherine Pl,4.0,4,07,00,14,30
159,5 & Dime Bagels,AU,Melbourne,16 Katherine Pl,4.0,4,07,00,14,30
160,5 Boroughs,AU,Brisbane,405 Logan Rd,3.0,6,11,00,21,00
161,5 Boroughs,AU,Brisbane,405 Logan Rd,3.0,6,11,00,21,00
162,5 Boroughs,AU,Brisbane,405 Logan Rd,3.0,6,11,00,21,00
163,5 Boroughs,AU,Brisbane,405 Logan Rd,3.0,6,11,00,21,00
164,5 Rabanitos Restaurante and Taqueria,US,Chicago,1758 W 18th Street,4.0,6,09,00,21,00
165,5 Rabanitos Restaurante and Taqueria,US,Chicago,1758 W 18th Street,4.0,6,09,00,21,00
166,5 Spices House,US,Boston,58 Beach St,3.5,6,11,00,00,00
167,5 Spices House,US,Boston,58 Beach St,3.5,6,11,00,00,00
168,5 Spot,US,Seattle,1502 Queen Anne Ave N,4.0,6,17,00,00,00
169,5 Spot,US,Seattle,1502 Queen Anne Ave N,4.0,6,17,00,00,00
170,500 Degrees New York Style Pizzeria,US,Charlotte,6037 South Blvd,4.0,5,11,00,22,00
171,500 Degrees New York Style Pizzeria,US,Charlotte,6037 South Blvd,4.0,5,11,00,22,00
172,500 Degrees New York Style Pizzeria,US,Charlotte,6037 South Blvd,4.0,5,11,00,22,00
173,500 Degrees New York Style Pizzeria,US,Charlotte,6037 South Blvd,4.0,5,11,00,22,00
174,50's Diner Omelet House,US,Las Vegas,3050 E Desert Inn Rd,4.0,6,07,00,15,00
175,50's Diner Omelet House,US,Las Vegas,3050 E Desert Inn Rd,4.0,6,07,00,15,00
176,5280 Burger Bar,US,Denver,500 16th St,4.0,6,11,00,22,00
177,5280 Burger Bar,US,Denver,500 16th St,4.0,6,11,00,22,00
178,5280 Sliders,US,Denver,3242 E Colfax Ave,4.5,6,14,00,22,00
179,5280 Sliders,US,Denver,3242 E Colfax Ave,4.5,6,14,00,22,00
180,580 Bench,AU,Melbourne,580 Saint Kilda Rd,5.0,4,07,00,16,00
181,580 Bench,AU,Melbourne,580 Saint Kilda Rd,5.0,4,07,00,16,00
182,5Church,US,Charlotte,127 N Tryon St,3.5,6,10,00,22,00
183,5Church,US,Charlotte,127 N Tryon St,3.5,6,10,00,22,00
184,62 Rokujuni,AU,Sydney,62 Clarence St,3.0,4,18,00,21,00
185,62 Rokujuni,AU,Sydney,62 Clarence St,3.0,4,18,00,21,00
186,678 Korean Bbq,AU,Sydney,1/ 396 Pitt St,3.5,6,11,00,00,00
187,678 Korean Bbq,AU,Sydney,1/ 396 Pitt St,3.5,6,11,00,00,00
188,6th Avenue Eats,US,Seattle,230 6th Ave N,5.0,4,11,00,14,00
189,6th Avenue Eats,US,Seattle,230 6th Ave N,5.0,4,11,00,14,00
190,7 Greens Detroit Salad,US,Detroit,1222 Library St,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
191,7 Greens Detroit Salad,US,Detroit,1222 Library St,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
192,7 Leguas Mexican Grille,US,Denver,4550 E Colfax Ave,4.0,6,09,00,22,00
193,7 Leguas Mexican Grille,US,Denver,4550 E Colfax Ave,4.0,6,09,00,22,00
194,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
195,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
196,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
197,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
198,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
199,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
200,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
201,7 Leguas Mexican Grille,US,Denver,8501 E Colfax Ave,4.5,6,09,00,22,00
202,75 on Liberty Wharf,US,Boston,220 Northern Ave,3.0,6,10,00,00,00
203,75 on Liberty Wharf,US,Boston,220 Northern Ave,3.0,6,10,00,00,00
204,75 on Liberty Wharf,US,Boston,220 Northern Ave,3.0,6,10,00,00,00
205,75 on Liberty Wharf,US,Boston,220 Northern Ave,3.0,6,10,00,00,00
206,7th & Bake Patisserie Cafe,AU,Canberra,144/41 Eastlake Pde,0.0,6,07,30,17,00
207,7th & Bake Patisserie Cafe,AU,Canberra,144/41 Eastlake Pde,0.0,6,07,30,17,00
208,7th District,US,Charlotte,321 N Caldwell St,3.5,6,11,00,16,00
209,7th District,US,Charlotte,321 N Caldwell St,3.5,6,11,00,16,00
210,8 Hoxton Square,GB,London,8 Hoxton Square,4.0,6,10,00,17,00
211,8 Hoxton Square,GB,London,8 Hoxton Square,4.0,6,10,00,17,00
212,800 Degrees,US,Las Vegas,Monte Carlo Hotel and Casino,3.5,6,11,00,02,00
213,800 Degrees,US,Las Vegas,Monte Carlo Hotel and Casino,3.5,6,11,00,02,00
214,888 Chinese Restaurant,US,Houston,403 Winkler Dr,4.0,6,11,00,00,00
215,888 Chinese Restaurant,US,Houston,403 Winkler Dr,4.0,6,11,00,00,00
216,8Bit,AU,Melbourne,231 Swanston Street,3.5,6,11,00,23,00
217,8Bit,AU,Melbourne,231 Swanston Street,3.5,6,11,00,23,00
218,8Elements Perfect Indian Cuisine,US,San Jose,1781 E Capitol Expy,3.5,6,11,30,22,00
219,8Elements Perfect Indian Cuisine,US,San Jose,1781 E Capitol Expy,3.5,6,11,30,22,00
220,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
221,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
222,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
223,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
224,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
225,8oz Burger & Co,US,Seattle,1401 Broadway,4.0,6,11,30,22,00
226,90 Miles Cuban Café,US,Chicago,3101 N Clybourn Ave,4.0,6,08,00,21,00
227,90 Miles Cuban Café,US,Chicago,3101 N Clybourn Ave,4.0,6,08,00,21,00
228,90 Miles Cuban Café,US,Chicago,2540 W Armitage Ave,4.0,6,10,00,22,00
229,90 Miles Cuban Café,US,Chicago,2540 W Armitage Ave,4.0,6,10,00,22,00
230,90 Secondi,AU,Melbourne,1/700 Bourke St,4.0,5,18,00,00,00
231,90 Secondi,AU,Melbourne,1/700 Bourke St,4.0,5,18,00,00,00
232,90 Secondi,AU,Melbourne,1/700 Bourke St,4.0,5,18,00,00,00
233,90 Secondi,AU,Melbourne,1/700 Bourke St,4.0,5,18,00,00,00
234,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
235,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
236,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
237,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
238,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
239,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
240,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
241,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
242,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
243,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
244,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
245,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
246,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
247,A 2nd Cup,US,Houston,1111 E 11th St,4.5,6,07,00,17,00
248,A & L Ham Palace,US,Detroit,9405 W Fort St,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
249,A & L Ham Palace,US,Detroit,9405 W Fort St,4.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
250,A Baked Joint,US,Washington,440 K St NW,4.5,6,08,00,20,00
251,A Baked Joint,US,Washington,440 K St NW,4.5,6,08,00,20,00
252,A Bite of Wyoming,US,San Jose,2227 Alum Rock Ave,3.5,6,07,00,14,00
253,A Bite of Wyoming,US,San Jose,2227 Alum Rock Ave,3.5,6,07,00,14,00
254,A Bite To Eat A Drink As Well,AU,Chifley,Chifley Pl,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
255,A Bite To Eat A Drink As Well,AU,Chifley,Chifley Pl,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
256,A Bite To Eat A Drink As Well,AU,Chifley,Chifley Pl,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
257,A Bite To Eat A Drink As Well,AU,Chifley,Chifley Pl,4.0,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
258,A Fish Called Inglewood,AU,Inglewood,Unit 2,5.0,6,17,00,00,00
259,A Fish Called Inglewood,AU,Inglewood,Unit 2,5.0,6,17,00,00,00
260,A Fish Called Inglewood,AU,Inglewood,Unit 2,5.0,6,17,00,00,00
261,A Fish Called Inglewood,AU,Inglewood,Unit 2,5.0,6,17,00,00,00
262,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
263,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
264,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
265,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
266,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
267,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
268,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
269,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
270,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
271,A Slice of New York,US,San Jose,3443 Stevens Creek Blvd,4.5,6,12,30,00,00
272,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
273,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
274,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
275,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
276,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
277,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
278,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
279,A25,AU,Melbourne,399 Lonsdale St,4.0,5,07,30,22,00
280,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
281,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
282,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
283,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
284,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
285,Aamaya Indian Restaurant,AU,Brisbane,"11/39, Portside Wharf",4.0,6,11,00,21,30
286,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
287,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
288,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
289,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
290,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
291,Abb Air,AU,Sydney,"Shop 9.60, World Square Shopping Centre",4.0,6,11,00,01,00
292,Abby Lane Food & Spirits,US,Boston,255 Tremont St,3.5,6,11,30,02,00
293,Abby Lane Food & Spirits,US,Boston,255 Tremont St,3.5,6,11,30,02,00
294,ABC Kitchen,US,New York,35 E 18th St,4.0,6,17,30,22,00
295,ABC Kitchen,US,New York,35 E 18th St,4.0,6,17,30,22,00
296,Abe & Louie's,US,Boston,793 Boylston St,4.0,6,11,00,23,00
297,Abe & Louie's,US,Boston,793 Boylston St,4.0,6,11,00,23,00
298,Abe & Louie's,US,Boston,793 Boylston St,4.0,6,11,00,23,00
299,Abe & Louie's,US,Boston,793 Boylston St,4.0,6,11,00,23,00
300,Abell's Kopi Tiam,AU,Manuka,7 Furneaux St,3.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
301,Abell's Kopi Tiam,AU,Manuka,7 Furneaux St,3.5,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated
302,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
303,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
304,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
305,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
306,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
307,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
308,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
309,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
310,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
311,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
312,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
313,Abeno Too,GB,London,17-18 Great Newport Street,4.0,6,12,00,22,00
314,Aboil Cafe,US,Washington,5503 Georgia Ave,5.0,6,10,00,13,00
